GUT_GENOME000035.HUMAN	0	12	HUMAN	g__Bacteroides	genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000057.HUMAN	0	1	HUMAN	g__Enterobacter	genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__
GUT_GENOME000319.HUMAN	0	1	HUMAN	g__Exiguobacterium	genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__
GUT_GENOME000459.HUMAN	0	5	HUMAN	g__Lawsonibacter	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__
GUT_GENOME000479.HUMAN	0	4	HUMAN	g__UBA7160	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__
GUT_GENOME000484.HUMAN	0	17	HUMAN	g__Collinsella	genus	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME000496.HUMAN	0	1	HUMAN	g__GCA-900066755	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__
GUT_GENOME000534.HUMAN	1	1	HUMAN	g__Terrisporobacter	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__
GUT_GENOME000565.HUMAN	0	1	HUMAN	g__Kluyvera	genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__
GUT_GENOME000572.HUMAN	0	1	HUMAN	g__Streptococcus	genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
GUT_GENOME000573.HUMAN	1	1	HUMAN	g__Clostridium_J	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__
GUT_GENOME000575.HUMAN	0	2	HUMAN	g__Exiguobacterium_A	genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__
GUT_GENOME000582.HUMAN	0	1	HUMAN	f__Lachnospiraceae	family	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__
GUT_GENOME000603.HUMAN	0	1	HUMAN	f__Anaerovoracaceae	family	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__
GUT_GENOME000604.HUMAN	0	1	HUMAN	g__UBA7096	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7096;s__
GUT_GENOME000611.HUMAN	0	1	HUMAN	g__Peptoniphilus_C	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__
GUT_GENOME000614.HUMAN	0	1	HUMAN	g__Beduini	genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Beduini;s__
GUT_GENOME000634.HUMAN	0	4	HUMAN	g__UBA7160	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__
GUT_GENOME000700.HUMAN	0	1	HUMAN	g__Hungatella	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__
GUT_GENOME000729.HUMAN	0	1	HUMAN	g__Hungatella	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__
GUT_GENOME005886.HUMAN	1	1	HUMAN	g__CAG-95	genus	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__
GUT_GENOME006618.HUMAN	0	1	HUMAN	g__Collinsella	genus	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
