GUT_GENOME137819	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME137257	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME096021	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME120930	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME198444	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME137233	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME120554	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME138280	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME000139	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
GUT_GENOME138765	s__Blautia_A hydrogenotrophica	species__Blautia_A hydrogenotrophica	species	Blautia_A hydrogenotrophica	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica
